"","associated_gene","Human (Adult)","Human (Adult)_Detected_Num_Isoseq","Human (Adult)_Known_Num_Gencode","Human (Adult)_Normalised","Human (Fetal)","Human (Fetal)_Detected_Num_Isoseq","Human (Fetal)_Known_Num_Gencode","Human (Fetal)_Normalised","Detected","isoseq_comparison_Human (Adult)vsHuman (Fetal)","isoseq_comparison_Human (Fetal)vsHuman (Adult)","isoseq_comparison_normalisedHuman (Adult)vsHuman (Fetal)","isoseq_comparison_normalisedHuman (Fetal)vsHuman (Adult)","isoseq_comparison_diff"
"82","ABCC5","Human (Adult)",5,13,0.384615384615385,"Human (Fetal)",6,13,0.461538461538462,"Both",0.833333333333333,1.2,0.833333333333333,1.2,1
"95","ABCD3","Human (Adult)",1,7,0.142857142857143,"Human (Fetal)",1,7,0.142857142857143,"Both",1,1,1,1,0
"96","ABCD4","Human (Adult)",5,28,0.178571428571429,"Human (Fetal)",2,28,0.0714285714285714,"Both",2.5,0.4,2.5,0.4,3
"98","ABCE1","Human (Adult)",1,10,0.1,"Human (Fetal)",1,10,0.1,"Both",1,1,1,1,0
"99","ABCF1","Human (Adult)",1,7,0.142857142857143,"Human (Fetal)",1,7,0.142857142857143,"Both",1,1,1,1,0
"100","ABCF2","Human (Adult)",2,6,0.333333333333333,"Human (Fetal)",2,6,0.333333333333333,"Both",1,1,1,1,0
"103","ABCF3","Human (Adult)",2,18,0.111111111111111,"Human (Fetal)",2,18,0.111111111111111,"Both",1,1,1,1,0
"104","ABCG1","Human (Adult)",2,11,0.181818181818182,"Human (Fetal)",2,11,0.181818181818182,"Both",1,1,1,1,0
"105","ABCG2","Human (Adult)",1,5,0.2,"Human (Fetal)",1,5,0.2,"Both",1,1,1,1,0
"110","ABHD10","Human (Adult)",2,5,0.4,"Human (Fetal)",3,5,0.6,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"111","ABHD11","Human (Adult)",2,14,0.142857142857143,"Human (Fetal)",1,14,0.0714285714285714,"Both",2,0.5,2,0.5,1
"113","ABHD12","Human (Adult)",5,9,0.555555555555556,"Human (Fetal)",2,9,0.222222222222222,"Both",2.5,0.4,2.5,0.4,3
"115","ABHD13","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"116","ABHD14A","Human (Adult)",3,6,0.5,"Human (Fetal)",1,6,0.166666666666667,"Both",3,0.333333333333333,3,0.333333333333333,2
"123","ABHD17A","Human (Adult)",8,6,1.33333333333333,"Human (Fetal)",2,6,0.333333333333333,"Both",4,0.25,4,0.25,6
"132","ABHD17B","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"133","ABHD17C","Human (Adult)",1,5,0.2,"Human (Fetal)",1,5,0.2,"Both",1,1,1,1,0
"135","ABHD2","Human (Adult)",1,10,0.1,"Human (Fetal)",1,10,0.1,"Both",1,1,1,1,0
"136","ABHD3","Human (Adult)",2,10,0.2,"Human (Fetal)",3,10,0.3,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"137","ABHD4","Human (Adult)",2,10,0.2,"Human (Fetal)",1,10,0.1,"Both",2,0.5,2,0.5,1
"138","ABHD5","Human (Adult)",1,16,0.0625,"Human (Fetal)",1,16,0.0625,"Both",1,1,1,1,0
"139","ABHD6","Human (Adult)",3,7,0.428571428571429,"Human (Fetal)",2,7,0.285714285714286,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"140","ABHD8","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",1,3,0.333333333333333,"Both",1,1,1,1,0
"141","ABI1","Human (Adult)",7,13,0.538461538461538,"Human (Fetal)",3,13,0.230769230769231,"Both",2.33333333333333,0.428571428571429,2.33333333333333,0.428571428571429,4
"146","ABITRAM","Human (Adult)",2,4,0.5,"Human (Fetal)",1,4,0.25,"Both",2,0.5,2,0.5,1
"148","ABL1","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",1,3,0.333333333333333,"Both",1,1,1,1,0
"154","ABR","Human (Adult)",1,36,0.0277777777777778,"Human (Fetal)",1,36,0.0277777777777778,"Both",1,1,1,1,0
"156","ABRACL","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"158","ABRAXAS2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"159","ABT1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"161","ABTB1","Human (Adult)",8,15,0.533333333333333,"Human (Fetal)",2,15,0.133333333333333,"Both",4,0.25,4,0.25,6
"363","AC003112.1","Human (Adult)",5,5,1,"Human (Fetal)",3,5,0.6,"Both",1.66666666666667,0.6,1.66666666666667,0.6,2
"365","AC003665.1","Human (Adult)",1,11,0.0909090909090909,"Human (Fetal)",1,11,0.0909090909090909,"Both",1,1,1,1,0
"437","AC004086.1","Human (Adult)",1,13,0.0769230769230769,"Human (Fetal)",2,13,0.153846153846154,"Both",0.5,2,0.5,2,1
"452","AC004156.1","Human (Adult)",3,7,0.428571428571429,"Human (Fetal)",2,7,0.285714285714286,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"454","AC004158.1","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"511","AC004475.1","Human (Adult)",6,15,0.4,"Human (Fetal)",5,15,0.333333333333333,"Both",1.2,0.833333333333333,1.2,0.833333333333333,1
"603","AC004812.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"889","AC005261.1","Human (Adult)",1,4,0.25,"Human (Fetal)",1,4,0.25,"Both",1,1,1,1,0
"890","AC005261.2","Human (Adult)",2,1,2,"Human (Fetal)",1,1,1,"Both",2,0.5,2,0.5,1
"939","AC005332.4","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"941","AC005332.5","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"996","AC005498.3","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"1129","AC005747.1","Human (Adult)",3,19,0.157894736842105,"Human (Fetal)",1,19,0.0526315789473684,"Both",3,0.333333333333333,3,0.333333333333333,2
"1182","AC005838.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"1240","AC005954.1","Human (Adult)",2,8,0.25,"Human (Fetal)",2,8,0.25,"Both",1,1,1,1,0
"1255","AC006001.3","Human (Adult)",1,7,0.142857142857143,"Human (Fetal)",3,7,0.428571428571429,"Both",0.333333333333333,3,0.333333333333333,3,2
"1293","AC006058.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"1327","AC006115.2","Human (Adult)",1,21,0.0476190476190476,"Human (Fetal)",1,21,0.0476190476190476,"Both",1,1,1,1,0
"1417","AC006333.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"1521","AC006511.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"1536","AC006538.1","Human (Adult)",3,14,0.214285714285714,"Human (Fetal)",3,14,0.214285714285714,"Both",1,1,1,1,0
"1590","AC006978.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"2146","AC008124.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"2272","AC008525.1","Human (Adult)",1,5,0.2,"Human (Fetal)",2,5,0.4,"Both",0.5,2,0.5,2,1
"2480","AC008764.8","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"2604","AC009041.2","Human (Adult)",7,11,0.636363636363636,"Human (Fetal)",2,11,0.181818181818182,"Both",3.5,0.285714285714286,3.5,0.285714285714286,5
"2687","AC009113.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"2780","AC009237.14","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"2785","AC009237.3","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",1,3,0.333333333333333,"Both",1,1,1,1,0
"2829","AC009303.4","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"2862","AC009412.1","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"2922","AC009549.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"3339","AC010605.1","Human (Adult)",2,7,0.285714285714286,"Human (Fetal)",1,7,0.142857142857143,"Both",2,0.5,2,0.5,1
"3351","AC010618.1","Human (Adult)",1,6,0.166666666666667,"Human (Fetal)",1,6,0.166666666666667,"Both",1,1,1,1,0
"3523","AC011008.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"3623","AC011445.1","Human (Adult)",2,1,2,"Human (Fetal)",1,1,1,"Both",2,0.5,2,0.5,1
"3687","AC011474.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"3753","AC011511.1","Human (Adult)",2,2,1,"Human (Fetal)",5,2,2.5,"Both",0.4,2.5,0.4,2.5,3
"3925","AC012146.1","Human (Adult)",1,5,0.2,"Human (Fetal)",1,5,0.2,"Both",1,1,1,1,0
"3990","AC012321.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"4128","AC012615.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"4507","AC016586.1","Human (Adult)",1,15,0.0666666666666667,"Human (Fetal)",6,15,0.4,"Both",0.166666666666667,6,0.166666666666667,6,5
"5426","AC022336.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"5583","AC022893.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"5603","AC022966.1","Human (Adult)",3,24,0.125,"Human (Fetal)",2,24,0.0833333333333333,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"5680","AC023301.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"5799","AC024060.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"5957","AC025165.3","Human (Adult)",1,4,0.25,"Human (Fetal)",1,4,0.25,"Both",1,1,1,1,0
"6170","AC026273.1","Human (Adult)",2,2,1,"Human (Fetal)",1,2,0.5,"Both",2,0.5,2,0.5,1
"6332","AC026877.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"6525","AC034102.1","Human (Adult)",3,11,0.272727272727273,"Human (Fetal)",4,11,0.363636363636364,"Both",0.75,1.33333333333333,0.75,1.33333333333333,1
"6794","AC055839.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"6970","AC067773.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"6977","AC067852.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"6978","AC067852.3","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"7051","AC068254.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"7116","AC068580.4","Human (Adult)",1,4,0.25,"Human (Fetal)",1,4,0.25,"Both",1,1,1,1,0
"7375","AC073111.4","Human (Adult)",2,7,0.285714285714286,"Human (Fetal)",1,7,0.142857142857143,"Both",2,0.5,2,0.5,1
"7511","AC073508.3","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"7601","AC073869.1","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"7689","AC074143.1","Human (Adult)",2,13,0.153846153846154,"Human (Fetal)",1,13,0.0769230769230769,"Both",2,0.5,2,0.5,1
"8304","AC087190.3","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"8340","AC087289.1","Human (Adult)",3,7,0.428571428571429,"Human (Fetal)",2,7,0.285714285714286,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"8670","AC090517.5","Human (Adult)",2,4,0.5,"Human (Fetal)",2,4,0.5,"Both",1,1,1,1,0
"8837","AC091021.1","Human (Adult)",2,26,0.0769230769230769,"Human (Fetal)",2,26,0.0769230769230769,"Both",1,1,1,1,0
"9014","AC091825.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"9141","AC092111.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"9208","AC092171.4","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"9422","AC092683.1","Human (Adult)",1,21,0.0476190476190476,"Human (Fetal)",2,21,0.0952380952380952,"Both",0.5,2,0.5,2,1
"9538","AC092881.1","Human (Adult)",4,43,0.0930232558139535,"Human (Fetal)",5,43,0.116279069767442,"Both",0.8,1.25,0.8,1.25,1
"9598","AC093010.3","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"9606","AC093028.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"9669","AC093297.2","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"9676","AC093323.1","Human (Adult)",3,4,0.75,"Human (Fetal)",2,4,0.5,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"9726","AC093512.2","Human (Adult)",2,9,0.222222222222222,"Human (Fetal)",3,9,0.333333333333333,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"10332","AC099336.1","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"10620","AC103706.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"10730","AC104072.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"10988","AC104964.3","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"11031","AC105052.3","Human (Adult)",6,1,6,"Human (Fetal)",4,1,4,"Both",1.5,0.666666666666667,1.5,0.666666666666667,2
"11156","AC105942.1","Human (Adult)",1,9,0.111111111111111,"Human (Fetal)",1,9,0.111111111111111,"Both",1,1,1,1,0
"11313","AC107068.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"11428","AC108047.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"11956","AC114271.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"12169","AC116533.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"12285","AC118549.1","Human (Adult)",1,11,0.0909090909090909,"Human (Fetal)",1,11,0.0909090909090909,"Both",1,1,1,1,0
"12412","AC122688.3","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"12495","AC124303.1","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"12496","AC124312.1","Human (Adult)",3,2,1.5,"Human (Fetal)",1,2,0.5,"Both",3,0.333333333333333,3,0.333333333333333,2
"12652","AC127459.1","Human (Adult)",2,1,2,"Human (Fetal)",1,1,1,"Both",2,0.5,2,0.5,1
"12693","AC129492.1","Human (Adult)",1,19,0.0526315789473684,"Human (Fetal)",1,19,0.0526315789473684,"Both",1,1,1,1,0
"12827","AC132008.2","Human (Adult)",2,7,0.285714285714286,"Human (Fetal)",1,7,0.142857142857143,"Both",2,0.5,2,0.5,1
"13186","AC138393.1","Human (Adult)",1,6,0.166666666666667,"Human (Fetal)",1,6,0.166666666666667,"Both",1,1,1,1,0
"13332","AC139768.1","Human (Adult)",2,11,0.181818181818182,"Human (Fetal)",1,11,0.0909090909090909,"Both",2,0.5,2,0.5,1
"13510","AC159540.2","Human (Adult)",2,8,0.25,"Human (Fetal)",2,8,0.25,"Both",1,1,1,1,0
"13730","AC241952.1","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",1,3,0.333333333333333,"Both",1,1,1,1,0
"13734","AC242376.2","Human (Adult)",1,2,0.5,"Human (Fetal)",2,2,1,"Both",0.5,2,0.5,2,1
"13781","AC243919.1","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"13932","AC245060.4","Human (Adult)",1,1,1,"Human (Fetal)",1,1,1,"Both",1,1,1,1,0
"13935","AC245060.7","Human (Adult)",2,1,2,"Human (Fetal)",3,1,3,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"13965","AC245297.1","Human (Adult)",6,2,3,"Human (Fetal)",2,2,1,"Both",3,0.333333333333333,3,0.333333333333333,4
"14033","ACAA1","Human (Adult)",5,20,0.25,"Human (Fetal)",4,20,0.2,"Both",1.25,0.8,1.25,0.8,1
"14034","ACAA2","Human (Adult)",2,7,0.285714285714286,"Human (Fetal)",1,7,0.142857142857143,"Both",2,0.5,2,0.5,1
"14035","ACACA","Human (Adult)",1,23,0.0434782608695652,"Human (Fetal)",1,23,0.0434782608695652,"Both",1,1,1,1,0
"14038","ACAD11","Human (Adult)",1,10,0.1,"Human (Fetal)",4,10,0.4,"Both",0.25,4,0.25,4,3
"14039","ACAD8","Human (Adult)",3,17,0.176470588235294,"Human (Fetal)",1,17,0.0588235294117647,"Both",3,0.333333333333333,3,0.333333333333333,2
"14040","ACAD9","Human (Adult)",2,12,0.166666666666667,"Human (Fetal)",2,12,0.166666666666667,"Both",1,1,1,1,0
"14042","ACADM","Human (Adult)",3,18,0.166666666666667,"Human (Fetal)",4,18,0.222222222222222,"Both",0.75,1.33333333333333,0.75,1.33333333333333,1
"14043","ACADS","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",2,3,0.666666666666667,"Both",0.5,2,0.5,2,1
"14044","ACADSB","Human (Adult)",2,4,0.5,"Human (Fetal)",3,4,0.75,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"14045","ACADVL","Human (Adult)",16,39,0.41025641025641,"Human (Fetal)",20,39,0.512820512820513,"Both",0.8,1.25,0.8,1.25,4
"14050","ACAP3","Human (Adult)",8,13,0.615384615384615,"Human (Fetal)",6,13,0.461538461538462,"Both",1.33333333333333,0.75,1.33333333333333,0.75,2
"14051","ACAT1","Human (Adult)",2,12,0.166666666666667,"Human (Fetal)",1,12,0.0833333333333333,"Both",2,0.5,2,0.5,1
"14052","ACAT2","Human (Adult)",3,3,1,"Human (Fetal)",4,3,1.33333333333333,"Both",0.75,1.33333333333333,0.75,1.33333333333333,1
"14053","ACBD3","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"14056","ACBD5","Human (Adult)",4,8,0.5,"Human (Fetal)",2,8,0.25,"Both",2,0.5,2,0.5,2
"14057","ACBD6","Human (Adult)",1,8,0.125,"Human (Fetal)",1,8,0.125,"Both",1,1,1,1,0
"14061","ACD","Human (Adult)",4,15,0.266666666666667,"Human (Fetal)",4,15,0.266666666666667,"Both",1,1,1,1,0
"14068","ACHE","Human (Adult)",3,14,0.214285714285714,"Human (Fetal)",2,14,0.142857142857143,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"14069","ACIN1","Human (Adult)",5,23,0.217391304347826,"Human (Fetal)",12,23,0.521739130434783,"Both",0.416666666666667,2.4,0.416666666666667,2.4,7
"14072","ACKR3","Human (Adult)",1,2,0.5,"Human (Fetal)",1,2,0.5,"Both",1,1,1,1,0
"14074","ACLY","Human (Adult)",3,10,0.3,"Human (Fetal)",2,10,0.2,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"14077","ACO1","Human (Adult)",2,3,0.666666666666667,"Human (Fetal)",2,3,0.666666666666667,"Both",1,1,1,1,0
"14078","ACO2","Human (Adult)",9,7,1.28571428571429,"Human (Fetal)",2,7,0.285714285714286,"Both",4.5,0.222222222222222,4.5,0.222222222222222,7
"14083","ACOT13","Human (Adult)",1,3,0.333333333333333,"Human (Fetal)",1,3,0.333333333333333,"Both",1,1,1,1,0
"14084","ACOT2","Human (Adult)",2,5,0.4,"Human (Fetal)",1,5,0.2,"Both",2,0.5,2,0.5,1
"14087","ACOT7","Human (Adult)",3,10,0.3,"Human (Fetal)",1,10,0.1,"Both",3,0.333333333333333,3,0.333333333333333,2
"14090","ACOX1","Human (Adult)",1,13,0.0769230769230769,"Human (Fetal)",1,13,0.0769230769230769,"Both",1,1,1,1,0
"14092","ACOX3","Human (Adult)",1,8,0.125,"Human (Fetal)",2,8,0.25,"Both",0.5,2,0.5,2,1
"14095","ACP1","Human (Adult)",3,13,0.230769230769231,"Human (Fetal)",3,13,0.230769230769231,"Both",1,1,1,1,0
"14096","ACP2","Human (Adult)",2,4,0.5,"Human (Fetal)",1,4,0.25,"Both",2,0.5,2,0.5,1
"14105","ACSBG1","Human (Adult)",1,14,0.0714285714285714,"Human (Fetal)",1,14,0.0714285714285714,"Both",1,1,1,1,0
"14108","ACSF3","Human (Adult)",2,19,0.105263157894737,"Human (Fetal)",2,19,0.105263157894737,"Both",1,1,1,1,0
"14109","ACSL1","Human (Adult)",2,12,0.166666666666667,"Human (Fetal)",2,12,0.166666666666667,"Both",1,1,1,1,0
"14110","ACSL3","Human (Adult)",3,11,0.272727272727273,"Human (Fetal)",2,11,0.181818181818182,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"14111","ACSL4","Human (Adult)",1,12,0.0833333333333333,"Human (Fetal)",2,12,0.166666666666667,"Both",0.5,2,0.5,2,1
"14122","ACSS1","Human (Adult)",2,5,0.4,"Human (Fetal)",2,5,0.4,"Both",1,1,1,1,0
"14123","ACSS2","Human (Adult)",1,24,0.0416666666666667,"Human (Fetal)",1,24,0.0416666666666667,"Both",1,1,1,1,0
"14129","ACTB","Human (Adult)",6,18,0.333333333333333,"Human (Fetal)",9,18,0.5,"Both",0.666666666666667,1.5,0.666666666666667,1.5,3
"14142","ACTG1","Human (Adult)",4,16,0.25,"Human (Fetal)",6,16,0.375,"Both",0.666666666666667,1.5,0.666666666666667,1.5,2
"14166","ACTL6B","Human (Adult)",1,6,0.166666666666667,"Human (Fetal)",2,6,0.333333333333333,"Both",0.5,2,0.5,2,1
"14171","ACTN1","Human (Adult)",6,21,0.285714285714286,"Human (Fetal)",1,21,0.0476190476190476,"Both",6,0.166666666666667,6,0.166666666666667,5
"14173","ACTN2","Human (Adult)",5,13,0.384615384615385,"Human (Fetal)",2,13,0.153846153846154,"Both",2.5,0.4,2.5,0.4,3
"14179","ACTR10","Human (Adult)",2,16,0.125,"Human (Fetal)",2,16,0.125,"Both",1,1,1,1,0
"14180","ACTR1A","Human (Adult)",1,7,0.142857142857143,"Human (Fetal)",2,7,0.285714285714286,"Both",0.5,2,0.5,2,1
"14181","ACTR1B","Human (Adult)",3,3,1,"Human (Fetal)",3,3,1,"Both",1,1,1,1,0
"14182","ACTR2","Human (Adult)",2,5,0.4,"Human (Fetal)",1,5,0.2,"Both",2,0.5,2,0.5,1
"14183","ACTR3","Human (Adult)",1,8,0.125,"Human (Fetal)",1,8,0.125,"Both",1,1,1,1,0
"14184","ACTR3B","Human (Adult)",4,5,0.8,"Human (Fetal)",3,5,0.6,"Both",1.33333333333333,0.75,1.33333333333333,0.75,1
"14194","ACTR5","Human (Adult)",1,1,1,"Human (Fetal)",2,1,2,"Both",0.5,2,0.5,2,1
"14195","ACTR6","Human (Adult)",2,13,0.153846153846154,"Human (Fetal)",1,13,0.0769230769230769,"Both",2,0.5,2,0.5,1
"14197","ACTR8","Human (Adult)",1,6,0.166666666666667,"Human (Fetal)",1,6,0.166666666666667,"Both",1,1,1,1,0
"14201","ACVR1","Human (Adult)",1,10,0.1,"Human (Fetal)",1,10,0.1,"Both",1,1,1,1,0
"14221","AD001527.2_TBCB","Human (Adult)",1,0,0,"Human (Fetal)",1,0,0,"Both",1,1,NA,NA,0
