Gene	Biotype	Gene_start	Gene_end	Index_SNP	P-value	CLOZUK_loci	chr	Loci_start	Loci_end	GWS in CLOZUK
CACNB2	protein_coding	18429606	18830798	rs7893279	1.97E-12	19	10	18681005	18770105	Yes
LRP1	protein_coding	57522276	57607134	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
MYO1A	protein_coding	57422301	57444982	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
NAB2	protein_coding	57482677	57489259	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
NDUFA4L2	protein_coding	57628686	57634498	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
NXPH4	protein_coding	57610578	57620232	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
R3HDM2	protein_coding	57643392	57824788	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
SHMT2	protein_coding	57623110	57628718	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
STAC3	protein_coding	57637236	57644976	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
STAT6	protein_coding	57489191	57525922	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
TAC3	protein_coding	57403784	57422667	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
TMEM194A	protein_coding	57449426	57481846	rs61937595	2.02E-12	20	12	57428314	57682971	Yes
LRRIQ3	protein_coding	74491699	74663871	rs12129573	2.03E-12	21	1	73766426	73991366	Yes
C2orf82	protein_coding	233721980	233743418	rs4144797	2.32E-12	22	2	233559301	233753501	Yes
EFHD1	protein_coding	233470767	233547491	rs4144797	2.32E-12	22	2	233559301	233753501	Yes
GIGYF2	protein_coding	233562009	233725285	rs4144797	2.32E-12	22	2	233559301	233753501	Yes
KCNJ13	protein_coding	233631174	233641278	rs4144797	2.32E-12	22	2	233559301	233753501	Yes
NGEF	protein_coding	233743396	233877982	rs4144797	2.32E-12	22	2	233559301	233753501	Yes
ESAM	protein_coding	124622026	124632186	rs12293670	2.80E-12	23	11	124610007	124620147	Yes
MSANTD2	protein_coding	124636394	124670569	rs12293670	2.80E-12	23	11	124610007	124620147	Yes
NRGN	protein_coding	124609742	124617106	rs12293670	2.80E-12	23	11	124610007	124620147	Yes
VSIG2	protein_coding	124617368	124622134	rs12293670	2.80E-12	23	11	124610007	124620147	Yes
TCF4	protein_coding	52889562	53332018	rs5825114	3.34E-12	24	18	52747686	53200117	Yes
AMBRA1	protein_coding	46417964	46615675	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
ARHGAP1	protein_coding	46698630	46722165	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
ATG13	protein_coding	46638826	46696368	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
CHRM4	protein_coding	46406640	46408107	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
CKAP5	protein_coding	46764598	46867847	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
CREB3L1	protein_coding	46299212	46342972	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
DGKZ	protein_coding	46354455	46402104	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
F2	protein_coding	46740730	46761056	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
HARBI1	protein_coding	46624411	46639459	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
MDK	protein_coding	46402306	46405375	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
ZNF408	protein_coding	46722368	46727462	rs7951870	1.26E-11	25	11	46342943	46751213	Yes
CCDC39	protein_coding	180320646	180588793	rs34796896	1.30E-11	26	3	180588843	181205585	Yes
DNAJC19	protein_coding	180701497	180707562	rs34796896	1.30E-11	26	3	180588843	181205585	Yes
FXR1	protein_coding	180585929	180700541	rs34796896	1.30E-11	26	3	180588843	181205585	Yes
ACTR5	protein_coding	37377085	37400834	rs6065094	1.46E-11	27	20	37361494	37485994	Yes
PPP1R16B	protein_coding	37434348	37551667	rs6065094	1.46E-11	27	20	37361494	37485994	Yes
SLC32A1	protein_coding	37353105	37358015	rs6065094	1.46E-11	27	20	37361494	37485994	Yes
FANCL	protein_coding	58386378	58468507	rs7596038	1.47E-11	28	2	57943593	58502192	Yes
VRK2	protein_coding	58134786	58387055	rs7596038	1.47E-11	28	2	57943593	58502192	Yes
ADAMTSL3	protein_coding	84322838	84708594	rs8025070	1.62E-11	29	15	84661161	85153461	Yes
GOLGA6L4	protein_coding	84904525	84914120	rs8025070	1.62E-11	29	15	84661161	85153461	Yes
ZSCAN2	protein_coding	85144217	85171027	rs8025070	1.62E-11	29	15	84661161	85153461	Yes
TCF4	protein_coding	52889562	53332018	rs144158419	1.97E-11	30	18	53453389	53804154	Yes
ANKRD44	protein_coding	197831741	198175897	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
BOLL	protein_coding	198591603	198651486	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
COQ10B	protein_coding	198318147	198340032	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
HSPD1	protein_coding	198351305	198381461	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
HSPE1	protein_coding	198364718	198368181	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
MARS2	protein_coding	198570087	198573113	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
PLCL1	protein_coding	198669426	199437305	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
RFTN2	protein_coding	198432948	198540769	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
SF3B1	protein_coding	198254508	198299815	rs6434928	2.06E-11	31	2	198148577	198835577	Yes
CHADL	protein_coding	41625517	41636938	rs9607782	2.07E-11	32	22	41408556	41675156	Yes
EP300	protein_coding	41487790	41576081	rs9607782	2.07E-11	32	22	41408556	41675156	Yes
L3MBTL2	protein_coding	41601209	41627275	rs9607782	2.07E-11	32	22	41408556	41675156	Yes
RANGAP1	protein_coding	41641615	41682255	rs9607782	2.07E-11	32	22	41408556	41675156	Yes
KCNV1	protein_coding	110975874	110988076	rs36043959	2.61E-11	33	8	111460061	111630761	Yes
CNTN4	protein_coding	2140497	3099645	rs66610175	2.69E-11	34	3	2532786	2561686	Yes
DRD2	protein_coding	113280318	113346413	rs2514218	2.75E-11	35	11	113317794	113423994	Yes
IGSF9B	protein_coding	133778459	133826880	rs4936215	3.87E-11	36	11	133808069	133852969	Yes
GLT8D1	protein_coding	52728500	52740099	rs3617	4.26E-11	37	3	52541105	52903405	Yes
GNL3	protein_coding	52719936	52728513	rs3617	4.26E-11	37	3	52541105	52903405	Yes
ITIH1	protein_coding	52811602	52826084	rs3617	4.26E-11	37	3	52541105	52903405	Yes
ITIH3	protein_coding	52828784	52843025	rs3617	4.26E-11	37	3	52541105	52903405	Yes
ITIH4	protein_coding	52847006	52864717	rs3617	4.26E-11	37	3	52541105	52903405	Yes
MUSTN1	protein_coding	52867131	52869235	rs3617	4.26E-11	37	3	52541105	52903405	Yes
NEK4	protein_coding	52744796	52804965	rs3617	4.26E-11	37	3	52541105	52903405	Yes
NISCH	protein_coding	52489524	52527088	rs3617	4.26E-11	37	3	52541105	52903405	Yes
NT5DC2	protein_coding	52558385	52569093	rs3617	4.26E-11	37	3	52541105	52903405	Yes
PBRM1	protein_coding	52579368	52719866	rs3617	4.26E-11	37	3	52541105	52903405	Yes
SMIM4	protein_coding	52570002	52574586	rs3617	4.26E-11	37	3	52541105	52903405	Yes
SPCS1	protein_coding	52739792	52742198	rs3617	4.26E-11	37	3	52541105	52903405	Yes
STAB1	protein_coding	52529354	52558512	rs3617	4.26E-11	37	3	52541105	52903405	Yes
STIMATE	protein_coding	52870772	52931597	rs3617	4.26E-11	37	3	52541105	52903405	Yes
STIMATE-MUSTN1	protein_coding	52867131	52931597	rs3617	4.26E-11	37	3	52541105	52903405	Yes
ALDOA	protein_coding	30064411	30081778	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
ASPHD1	protein_coding	29911696	29931185	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
C16orf92	protein_coding	30034655	30039057	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
DOC2A	protein_coding	30016830	30034591	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
FAM57B	protein_coding	30035748	30064299	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
GDPD3	protein_coding	30116131	30125177	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
HIRIP3	protein_coding	30003645	30007757	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
INO80E	protein_coding	30006615	30017114	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
KCTD13	protein_coding	29916333	29938356	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
MAPK3	protein_coding	30125426	30134827	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
PPP4C	protein_coding	30087299	30096698	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
SEZ6L2	protein_coding	29882480	29910868	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
TAOK2	protein_coding	29984962	30003582	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
TBX6	protein_coding	30097114	30103208	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
TMEM219	protein_coding	29952206	29984373	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
YPEL3	protein_coding	30103635	30108236	rs11646127	4.55E-11	38	16	29924377	30144877	Yes
CACNA1I	protein_coding	39966758	40085742	rs71695442	4.73E-11	39	22	39975317	40016817	Yes
MSL2	protein_coding	135867764	135916083	rs7432375	7.26E-11	40	3	135807405	136615405	Yes
NCK1	protein_coding	136581050	136668665	rs7432375	7.26E-11	40	3	135807405	136615405	Yes
PCCB	protein_coding	135969148	136056738	rs7432375	7.26E-11	40	3	135807405	136615405	Yes
PPP2R3A	protein_coding	135684515	135866733	rs7432375	7.26E-11	40	3	135807405	136615405	Yes
SLC35G2	protein_coding	136537489	136574734	rs7432375	7.26E-11	40	3	135807405	136615405	Yes
STAG1	protein_coding	136055077	136471220	rs7432375	7.26E-11	40	3	135807405	136615405	Yes
GRIA1	protein_coding	152869175	153193429	rs111294930	1.06E-10	41	5	151941104	152797656	Yes
PJA1	protein_coding	68380694	68385636	rs62606711	1.98E-10	42	X	68377126	68379036	Yes
SGSM2	protein_coding	2240792	2284352	rs7216638	2.86E-10	43	17	2095899	2220799	Yes
SMG6	protein_coding	1963133	2207065	rs7216638	2.86E-10	43	17	2095899	2220799	Yes
SRR	protein_coding	2206677	2228554	rs7216638	2.86E-10	43	17	2095899	2220799	Yes
TSR1	protein_coding	2225797	2240801	rs7216638	2.86E-10	43	17	2095899	2220799	Yes
GRM3	protein_coding	86273230	86494200	rs12704290	3.33E-10	44	7	86403226	86459326	Yes
VPS14C	-	-	-	rs12898315	3.38E-10	45	15	61831663	61909663	Yes
KDM4A	protein_coding	44115829	44171186	rs2970610	3.39E-10	46	1	44029384	44128084	Yes
PTPRF	protein_coding	43990858	44089343	rs2970610	3.39E-10	46	1	44029384	44128084	Yes
CILP2	protein_coding	19649057	19657468	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
GATAD2A	protein_coding	19496635	19619740	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
HAPLN4	protein_coding	19366450	19373605	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
MAU2	protein_coding	19431490	19469563	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
NCAN	protein_coding	19322782	19363042	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
NDUFA13	protein_coding	19626545	19644285	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
PBX4	protein_coding	19672522	19729725	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
SUGP1	protein_coding	19386827	19431653	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
TM6SF2	protein_coding	19375173	19384200	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
TSSK6	protein_coding	19623227	19626838	rs2905432	3.63E-10	47	19	19374022	19658022	Yes
ANP32E	protein_coding	150906790	150922509	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
APH1A	protein_coding	150951819	150955995	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
C1orf51	protein_coding	150968958	150973508	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
C1orf54	protein_coding	150954615	150967331	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
CA14	protein_coding	150944189	150951476	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
OTUD7B	protein_coding	150626747	150697152	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
PLEKHO1	protein_coding	150836333	150846010	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
VPS45	protein_coding	150753700	150831742	rs140505938	4.49E-10	48	1	149998890	150242490	Yes
SNAP91	protein_coding	84262599	84419410	rs217331	8.15E-10	49	6	84279922	84407274	Yes
PLCH2	protein_coding	2357419	2436969	rs4648845	8.70E-10	50	1	2372401	2402501	Yes
ERCC4	protein_coding	14014014	14046202	rs7499750	1.01E-09	51	16	13728459	13761359	Yes
MLL5	protein_coding	104717750	104730720	rs7789569	1.13E-09	52	7	104598064	105063064	Yes
PUS7	protein_coding	105080108	105162714	rs7789569	1.13E-09	52	7	104598064	105063064	Yes
SRPK2	protein_coding	104751151	105039755	rs7789569	1.13E-09	52	7	104598064	105063064	Yes
RERE	protein_coding	8412457	8877702	rs34269918	1.17E-09	53	1	8411184	8638984	Yes
SLC45A1	protein_coding	8377886	8404227	rs34269918	1.17E-09	53	1	8411184	8638984	Yes
ATP2A2	protein_coding	110718561	110788898	rs4766428	1.40E-09	54	12	110723245	110723245	Yes
C4orf27	protein_coding	170650616	170679104	rs10520163	1.47E-09	55	4	170357552	170646052	Yes
CLCN3	protein_coding	170533784	170644824	rs10520163	1.47E-09	55	4	170357552	170646052	Yes
NEK1	protein_coding	170314426	170533780	rs10520163	1.47E-09	55	4	170357552	170646052	Yes
FUT9	protein_coding	96463860	96663488	rs117074560	1.64E-09	56	6	96459651	96459651	No
CENPM	protein_coding	42334725	42343168	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
CYP2D6	protein_coding	42534642	42539049	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
FAM109B	protein_coding	42470255	42475445	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
NAGA	protein_coding	42454358	42466846	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
NDUFA6	protein_coding	42481529	42486959	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
SEPT3	protein_coding	42372276	42394225	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
SHISA8	protein_coding	42307297	42310570	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
SMDT1	protein_coding	42475695	42480288	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
SREBF2	protein_coding	42229109	42303312	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
TCF20	protein_coding	42543863	42727524	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
TNFRSF13C	protein_coding	42321045	42322822	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
WBP2NL	protein_coding	42394729	42454460	rs6002655	1.71E-09	57	22	42315744	42689414	Yes
BTBD18	protein_coding	57510986	57519253	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
C11orf31	protein_coding	57508825	57510986	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
CLP1	protein_coding	57416465	57429340	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
CTNND1	protein_coding	57520715	57587018	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
MED19	protein_coding	57471186	57479693	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
SERPING1	protein_coding	57364860	57382326	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
TMX2	protein_coding	57480072	57508445	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
YPEL4	protein_coding	57412560	57417417	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
ZDHHC5	protein_coding	57435219	57468659	rs7129727	2.24E-09	59	11	57386294	57682294	Yes
LUZP2	protein_coding	24518516	25104150	rs1899543	2.55E-09	60	11	24367320	24412990	Yes
DGKI	protein_coding	137065783	137531838	rs3735025	3.28E-09	62	7	137039644	137085244	Yes
PTN	protein_coding	136912088	137028611	rs3735025	3.28E-09	62	7	137039644	137085244	Yes
TLE1	protein_coding	84198598	84304220	rs1319017	3.61E-09	63	9	84630941	84813641	Yes
AKT3	protein_coding	243651535	244014381	rs14403	3.73E-09	64	1	243503719	244002945	Yes
SDCCAG8	protein_coding	243419320	243663394	rs14403	3.73E-09	64	1	243503719	244002945	Yes
ANKRD63	protein_coding	40573645	40574787	rs56282503	4.18E-09	65	15	40566759	40602237	Yes
PAK6	protein_coding	40509629	40569688	rs56282503	4.18E-09	65	15	40566759	40602237	Yes
PLCB2	protein_coding	40570377	40600136	rs56282503	4.18E-09	65	15	40566759	40602237	Yes
ZNF536	protein_coding	30719197	31204445	rs2053079	4.49E-09	66	19	30981643	31039023	Yes
MEF2C	protein_coding	88013975	88199922	rs16867576	4.61E-09	67	5	88581331	88854331	Yes
TBC1D5	protein_coding	17198654	18486309	rs11409090	4.64E-09	68	3	17221366	17888266	Yes
CDC25C	protein_coding	137620954	137674044	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
CTNNA1	protein_coding	137946656	138270723	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
EGR1	protein_coding	137801179	137805004	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
ETF1	protein_coding	137841784	137878989	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
FAM53C	protein_coding	137667624	137685416	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
GFRA3	protein_coding	137588068	137610360	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
HSPA9	protein_coding	137890571	137911133	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
KDM3B	protein_coding	137688285	137772717	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
REEP2	protein_coding	137774706	137782658	rs13169274	4.67E-09	69	5	137598121	137948092	Yes
BCL11B	protein_coding	99635624	99737861	rs35604463	4.80E-09	70	14	99707919	99719219	Yes
AC005477.1	protein_coding	72456191	72458326	rs2332700	4.86E-09	71	14	72417326	72450526	Yes
HCN1	protein_coding	45259349	45696253	rs6867827	5.05E-09	72	5	45291475	45393775	Yes
CA8	protein_coding	61099906	61193971	rs1473594	5.97E-09	73	8	60475469	60954469	Yes
CYP26B1	protein_coding	72356367	72375167	rs3768644	7.39E-09	74	2	72357335	72368185	No
GRAMD1B	protein_coding	123396344	123498482	rs77502336	7.54E-09	75	11	123394636	123395986	No
SATB2	protein_coding	200134223	200335989	rs6704641	8.33E-09	76	2	200161422	200309252	Yes
PCGEM1	lincRNA	193614571	193641625	rs59979824	8.41E-09	77	2	193848340	194028340	No
GPM6A	protein_coding	176554085	176923815	rs62334820	9.47E-09	78	4	176851001	176875801	Yes
CSMD1	protein_coding	2792875	4852494	rs139425113	1.06E-08	79	8	4177794	4192544	Yes
CUL3	protein_coding	225334867	225450110	rs11685299	1.12E-08	80	2	225334096	225467796	Yes
MMP16	protein_coding	89044237	89340254	rs4246111	1.22E-08	81	8	89340626	89753626	Yes
GRIN2A	protein_coding	9852376	10276611	rs7191183	1.28E-08	82	16	9875519	9970219	Yes
PRKD1	protein_coding	30045687	30661104	rs199687649	1.41E-08	83	14	30189985	30190316	Yes
ATXN7	protein_coding	63850233	63989138	rs704373	1.43E-08	84	3	63792650	64004050	Yes
C3orf49	protein_coding	63805038	63834312	rs704373	1.43E-08	84	3	63792650	64004050	Yes
PSMD6	protein_coding	63996225	64009658	rs704373	1.43E-08	84	3	63792650	64004050	Yes
THOC7	protein_coding	63819546	63849579	rs704373	1.43E-08	84	3	63792650	64004050	Yes
ACD	protein_coding	67691415	67694713	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
C16orf86	protein_coding	67700719	67702661	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
CENPT	protein_coding	67862060	67881714	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
CTRL	protein_coding	67961543	67966317	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
DDX28	protein_coding	68055179	68057770	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
DPEP2	protein_coding	68021297	68034489	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
DPEP3	protein_coding	68009566	68014732	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
DUS2	protein_coding	68056847	68113226	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
EDC4	protein_coding	67906926	67918406	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
ENKD1	protein_coding	67696848	67701168	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
ESRP2	protein_coding	68263014	68272005	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
GFOD2	protein_coding	67708434	67753324	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
LCAT	protein_coding	67973653	67978034	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
NFATC3	protein_coding	68118654	68263162	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
NRN1L	protein_coding	67918708	67922758	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
NUTF2	protein_coding	67880635	67906470	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
PARD6A	protein_coding	67694849	67696681	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
PLA2G15	protein_coding	68279207	68294961	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
PSKH1	protein_coding	67927175	67963581	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
PSMB10	protein_coding	67968405	67970990	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
RANBP10	protein_coding	67757005	67840555	rs1975802	1.51E-08	85	16	67709340	68311340	Yes
