Gene	Biotype	Gene_start	Gene_end	Index_SNP	P-value	CLOZUK_loci	chr	Loci_start	Loci_end	GWS in PGC2
C16orf92	protein_coding	30034655	30039057	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
DOC2A	protein_coding	30016830	30034591	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
FAM57B	protein_coding	30035748	30064299	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
GDPD3	protein_coding	30116131	30125177	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
HIRIP3	protein_coding	30003645	30007757	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
INO80E	protein_coding	30006615	30017114	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
KCTD13	protein_coding	29916333	29938356	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
MAPK3	protein_coding	30125426	30134827	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
PPP4C	protein_coding	30087299	30096698	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
SEZ6L2	protein_coding	29882480	29910868	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
TAOK2	protein_coding	29984962	30003582	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
TBX6	protein_coding	30097114	30103208	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
TMEM219	protein_coding	29952206	29984373	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
YPEL3	protein_coding	30103635	30108236	rs11646127	5.52E-13	24	16	29924422	30117253	Yes
CHADL	protein_coding	41625517	41636938	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
EP300	protein_coding	41487790	41576081	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
EP300-AS1	ncRNA	41581218	41593505	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
L3MBTL2	protein_coding	41601209	41627275	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
MIR1281	miRNA	41488517	41488570	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
MIR6889	miRNA	41648996	41649054	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
RANGAP1	protein_coding	41641615	41682255	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
ZC3H7B	protein_coding	41697526	41756151	rs9607782	5.54E-13	25	22	41408754	41684093	Yes
SNAP91	protein_coding	84262599	84419410	rs217287	9.53E-13	26	6	84264202	84409255	Yes
PJA1	protein_coding	68380694	68385636	rs62606711	1.26E-12	27	X	68377126	68377205	Yes
LOC100506472	ncRNA	39828165	39833133	rs5757730	1.76E-12	28	22	39840130	40091818	Yes
MGAT3	protein_coding	39853349	39888199	rs5757730	1.76E-12	28	22	39840130	40091818	Yes
TAB1	protein_coding	39795746	39833065	rs5757730	1.76E-12	28	22	39840130	40091818	Yes
CACNA1I	protein_coding	39966758	40085742	rs5757730	1.76E-12	28	22	39840130	40091818	Yes
RPS19BP1	protein_coding	39925098	39928860	rs5757730	1.76E-12	28	22	39840130	40091818	Yes
FANCL	protein_coding	58386378	58468507	rs7596038	2.37E-12	29	2	57950104	58484172	Yes
VRK2	protein_coding	58134786	58387055	rs7596038	2.37E-12	29	2	57950104	58484172	Yes
CNTN4	protein_coding	2140497	3099645	rs35346733	2.42E-12	30	3	2435850	2540632	Yes
DRD2	protein_coding	113280318	113346413	rs2514218	2.42E-12	31	11	113317745	113451229	Yes
MIR4301	miRNA	113320745	113320810	rs2514218	2.42E-12	31	11	113317745	113451229	Yes
FES	protein_coding	91426925	91439006	rs17514846	2.55E-12	32	15	91416550	91429042	Yes
FURIN	protein_coding	91411822	91426688	rs17514846	2.55E-12	32	15	91416550	91429042	Yes
MAN2A2	protein_coding	91445448	91465814	rs17514846	2.55E-12	32	15	91416550	91429042	Yes
RFT1	protein_coding	53122499	53164478	rs1080500	2.71E-12	33	3	52965713	53175017	No
SFMBT1	protein_coding	52937588	53080766	rs1080500	2.71E-12	33	3	52965713	53175017	No
CHRNA3	protein_coding	78885394	78913637	rs3743078	3.11E-12	34	15	78802586	78926726	Yes
CHRNA5	protein_coding	78857862	78887611	rs3743078	3.11E-12	34	15	78802586	78926726	Yes
CHRNB4	protein_coding	78916461	79020096	rs3743078	3.11E-12	34	15	78802586	78926726	Yes
HYKK	protein_coding	78799906	78829714	rs3743078	3.11E-12	34	15	78802586	78926726	Yes
IREB2	protein_coding	78729773	78793798	rs3743078	3.11E-12	34	15	78802586	78926726	Yes
PSMA4	protein_coding	78832747	78841604	rs3743078	3.11E-12	34	15	78802586	78926726	Yes
DNAJC19	protein_coding	180701497	180707562	rs34796896	3.19E-12	35	3	180571624	181207851	Yes
FXR1	protein_coding	180585929	180700541	rs34796896	3.19E-12	35	3	180571624	181207851	Yes
LOC101928882	ncRNA	180425377	180452389	rs34796896	3.19E-12	35	3	180571624	181207851	Yes
SOX2-OT	sense_overlapping	180707558	181554668	rs34796896	3.19E-12	35	3	180571624	181207851	Yes
MSL2	protein_coding	135867764	135916083	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
NCK1	protein_coding	136581050	136668665	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
NCK1-AS1	ncRNA	136557117	136580993	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
PCCB	protein_coding	135969148	136056738	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
PPP2R3A	protein_coding	135684515	135866733	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
SLC35G2	protein_coding	136537489	136574734	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
STAG1	protein_coding	136055077	136471220	rs7432375	4.07E-12	36	3	135807609	136615268	Yes
KCNV1	protein_coding	110975874	110988076	rs36043959	4.07E-12	37	8	111460027	111630275	Yes
SATB2	protein_coding	200134223	200335989	rs1451488	4.75E-12	38	2	199908378	200244409	Yes
LINC01648	ncRNA	30486799	30510459	rs6694545	6.20E-12	39	1	30428943	30459412	Yes
CILP2	protein_coding	19649057	19657468	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
GATAD2A	protein_coding	19496635	19619740	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
HAPLN4	protein_coding	19366450	19373605	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
MAU2	protein_coding	19431490	19469563	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
NCAN	protein_coding	19322782	19363042	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
NDUFA13	protein_coding	19626545	19644285	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
PBX4	protein_coding	19672522	19729725	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
SUGP1	protein_coding	19386827	19431653	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
TM6SF2	protein_coding	19375173	19384200	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
TSSK6	protein_coding	19623227	19626838	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
YJEFN3	protein_coding	19627036	19648390	rs2905432	6.62E-12	40	19	19358332	19657632	Yes
PLCH2	protein_coding	2357419	2436969	rs4648845	6.74E-12	41	1	2372397	2402499	Yes
CHRNA2	protein_coding	27317279	27337400	rs11783093	7.64E-12	42	8	27327841	27453762	Yes
PTK2B	protein_coding	27168999	27316903	rs11783093	7.64E-12	42	8	27327841	27453762	Yes
CLU	protein_coding	27454434	27472548	rs11783093	7.64E-12	42	8	27327841	27453762	Yes
EPHX2	protein_coding	27348296	27403081	rs11783093	7.64E-12	42	8	27327841	27453762	Yes
MIR6843	miRNA	27468118	27468268	rs11783093	7.64E-12	42	8	27327841	27453762	Yes
LINC01470	ncRNA	151998525	152351909	rs111294930	9.04E-12	43	5	151924995	152847217	Yes
GPM6A	protein_coding	176554085	176923815	rs62334820	9.60E-12	44	4	176717618	176904037	Yes
U80770	-	-	-	rs56807175	1.36E-11	45	2	146416874	146441828	Yes
KDM4A	protein_coding	44115829	44171186	rs2970610	1.39E-11	46	1	44029353	44137257	Yes
PTPRF	protein_coding	43990858	44089343	rs2970610	1.39E-11	46	1	44029353	44137257	Yes
MEF2C-AS1	ncRNA	88185125	88513260	rs16867576	1.65E-11	47	5	88580998	88748452	Yes
SNX19	protein_coding	130745331	130786404	rs35774874	1.97E-11	48	11	130794253	130894131	Yes
NAB2	protein_coding	57482677	57489259	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
STAT6	protein_coding	57489191	57525922	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
TMEM194A	protein_coding	57449426	57481846	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
LRP1	protein_coding	57522276	57607134	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
NDUFA4L2	protein_coding	57628686	57634498	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
NXPH4	protein_coding	57610578	57620232	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
R3HDM2	protein_coding	57643392	57824788	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
SHMT2	protein_coding	57623110	57628718	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
STAC3	protein_coding	57637236	57644976	rs61937595	3.28E-11	49	12	57483524	57682956	Yes
CA8	protein_coding	61099906	61193971	rs1473594	3.33E-11	50	8	60475926	60954059	Yes
ADM5	protein_coding	50191921	50193832	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
BCL2L12	protein_coding	50168823	50177173	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
CPT1C	protein_coding	50194155	50216988	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
IRF3	protein_coding	50162826	50169132	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
MIR5088	miRNA	50185328	50185411	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
PRMT1	protein_coding	50179043	50192286	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
PRR12	protein_coding	50094900	50129696	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
PRRG2	protein_coding	50083903	50094272	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
RRAS	protein_coding	50138549	50143458	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
SCAF1	protein_coding	50145382	50161899	rs7508148	4.06E-11	51	19	50106208	50182697	Yes
IMMP2L	protein_coding	110303110	111202573	rs12705761	5.11E-11	52	7	110850439	111180544	Yes
HCN1	protein_coding	45259349	45696253	rs16902086	5.55E-11	53	5	44960923	45285752	Yes
KMT2E	protein_coding	104654626	104754808	rs7789569	7.00E-11	54	7	104597669	105063372	Yes
KMT2E-AS1	antisense	104653872	104654768	rs7789569	7.00E-11	54	7	104597669	105063372	Yes
LINC01004	antisense	104590762	104653491	rs7789569	7.00E-11	54	7	104597669	105063372	Yes
SRPK2	protein_coding	104751151	105039755	rs7789569	7.00E-11	54	7	104597669	105063372	Yes
DGKI	protein_coding	137065783	137531838	rs3735025	7.02E-11	55	7	137039670	137085250	Yes
PTN	protein_coding	136912088	137028611	rs3735025	7.02E-11	55	7	137039670	137085250	Yes
SPATA31D1	protein_coding	84603687	84610171	rs1319017	7.82E-11	56	9	84607758	84813653	Yes
TRANK1	protein_coding	36868311	36986548	rs75968099	9.41E-11	57	3	36843149	36945794	Yes
ATXN7	protein_coding	63850233	63989138	rs704373	1.39E-10	58	3	63792668	64003983	Yes
C3orf49	protein_coding	63805038	63834312	rs704373	1.39E-10	58	3	63792668	64003983	Yes
PSMD6	protein_coding	63996225	64009658	rs704373	1.39E-10	58	3	63792668	64003983	Yes
PSMD6-AS2	antisense	63989698	63997824	rs704373	1.39E-10	58	3	63792668	64003983	Yes
THOC7	protein_coding	63819546	63849579	rs704373	1.39E-10	58	3	63792668	64003983	Yes
THOC7-AS1	antisense	63846321	63847495	rs704373	1.39E-10	58	3	63792668	64003983	Yes
RGS6	protein_coding	72399156	73030654	rs2332700	1.52E-10	59	14	72417326	72450533	Yes
MIR4677	miRNA	243509478	243509557	rs14403	1.71E-10	60	1	243503764	243685760	Yes
SDCCAG8	protein_coding	243419320	243663394	rs14403	1.71E-10	60	1	243503764	243685760	Yes
AKT3	protein_coding	243651535	244014381	rs14403	1.71E-10	60	1	243503764	243685760	Yes
NLGN4X	protein_coding	5758678	6146904	rs12009217	1.78E-10	61	X	5859733	6029533	Yes
ZNF536	protein_coding	30719197	31204445	rs2053079	1.82E-10	62	19	30981639	31038995	Yes
CNOT1	protein_coding	58553855	58663790	rs42945	2.25E-10	63	16	58538662	58684945	Yes
NDRG4	protein_coding	58496750	58547532	rs42945	2.25E-10	63	16	58538662	58684945	Yes
SETD6	protein_coding	58549383	58554431	rs42945	2.25E-10	63	16	58538662	58684945	Yes
SLC38A7	protein_coding	58699013	58719008	rs42945	2.25E-10	63	16	58538662	58684945	Yes
SNORA46	snoRNA	58582403	58582537	rs42945	2.25E-10	63	16	58538662	58684945	Yes
SNORA76A	snoRNA	58593700	58593835	rs42945	2.25E-10	63	16	58538662	58684945	Yes
OPCML	protein_coding	132284871	133402414	rs2917569	3.11E-10	64	11	132387460	132581442	No
RIMS1	protein_coding	72596406	73112845	rs1339227	3.76E-10	65	6	73132745	73171881	Yes
MIR548AI	miRNA	99572485	99572572	rs1191551	4.12E-10	66	14	30000405	30190316	Yes
PRKD1	protein_coding	30045687	30661104	rs1191551	4.12E-10	66	14	30000405	30190316	Yes
ERCC4	protein_coding	14014014	14046202	rs7499750	4.24E-10	67	16	13730867	13763942	Yes
LOC101927839	ncRNA	2135755	2136904	rs7216638	4.59E-10	68	17	2059961	2216258	Yes
SMG6	protein_coding	1963133	2207065	rs7216638	4.59E-10	68	17	2059961	2216258	Yes
SNORD91A	sense_intronic	2233570	2233664	rs7216638	4.59E-10	68	17	2059961	2216258	Yes
SNORD91B	sense_intronic	2232413	2232507	rs7216638	4.59E-10	68	17	2059961	2216258	Yes
SRR	protein_coding	2206677	2228554	rs7216638	4.59E-10	68	17	2059961	2216258	Yes
TSR1	protein_coding	2225797	2240801	rs7216638	4.59E-10	68	17	2059961	2216258	Yes
CHRM3	protein_coding	239549865	240078750	rs72769124	4.73E-10	69	1	239198959	239210058	No
FOXG1	protein_coding	29235050	29238870	rs10148671	5.46E-10	70	14	29469373	29490300	No
ASH2L	protein_coding	37962760	38001594	rs10156310	5.56E-10	71	8	38014429	38310910	No*
BAG4	protein_coding	38034051	38070819	rs10156310	5.56E-10	71	8	38014429	38310910	No*
DDHD2	protein_coding	38082736	38133076	rs10156310	5.56E-10	71	8	38014429	38310910	No*
FGFR1	protein_coding	38268656	38326352	rs10156310	5.56E-10	71	8	38014429	38310910	No*
LETM2	protein_coding	38243725	38267045	rs10156310	5.56E-10	71	8	38014429	38310910	No*
LSM1	protein_coding	38020839	38034248	rs10156310	5.56E-10	71	8	38014429	38310910	No*
PPAPDC1B	protein_coding	38120648	38126761	rs10156310	5.56E-10	71	8	38014429	38310910	No*
STAR	protein_coding	38001167	38008783	rs10156310	5.56E-10	71	8	38014429	38310910	No*
WHSC1L1	protein_coding	38127215	38239790	rs10156310	5.56E-10	71	8	38014429	38310910	No*
LINC01720	ncRNA	190594020	190770788	rs28374258	6.35E-10	72	1	190606775	191091298	No
ZEB2	protein_coding	145141648	145282147	rs12991836	6.46E-10	73	2	145139727	145186749	No*
ANP32E	protein_coding	150906790	150922509	rs140505938	6.50E-10	74	1	149998923	150214166	Yes
CA14	protein_coding	150944189	150951476	rs140505938	6.50E-10	74	1	149998923	150214166	Yes
OTUD7B	protein_coding	150626747	150697152	rs140505938	6.50E-10	74	1	149998923	150214166	Yes
PLEKHO1	protein_coding	150836333	150846010	rs140505938	6.50E-10	74	1	149998923	150214166	Yes
VPS45	protein_coding	150753700	150831742	rs140505938	6.50E-10	74	1	149998923	150214166	Yes
